DATA_FREE,CHECK_TIME,TABLE_ROWS,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,NODEGROUP,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,AVG_ROW_LENGTH,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_CMPMEM_RESET,def,NULL,15203424,NULL,NULL,29,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_FT_DEFAULT_STOPWORD,def,NULL,14679168,NULL,NULL,56,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_TABLES,def,NULL,16734060,NULL,NULL,1995,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_COLUMNS,def,NULL,16626246,NULL,NULL,222,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_TABLESPACES,def,NULL,16764294,NULL,NULL,3606,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_INDEXES,def,NULL,16703841,NULL,NULL,231,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_BUFFER_PAGE,def,NULL,16755872,NULL,NULL,3556,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_SYS_VIRTUAL,def,NULL,11883136,NULL,NULL,17,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,user_variables,def,NULL,16769799,NULL,NULL,6631,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_TABLESPACES_ENCRYPTION,def,NULL,16750173,NULL,NULL,2013,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,INNODB_LOCK_WAITS,def,NULL,16546830,NULL,NULL,505,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2025-05-13 12:42:47,0,NULL,<blank>,0,information_schema,THREAD_POOL_STATS,def,NULL,16204230,NULL,NULL,85,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-02 06:27:46,16384,NULL,<blank>,16384,ccledu_next480,oc_external_options,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_addressbooks,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,2,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,49152,ccledu_next480,oc_circles_member,def,NULL,NULL,NULL,NULL,8192,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-02 06:27:46,16384,NULL,<blank>,32768,ccledu_next480,oc_external_applicable,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
